epoch,ood_ll_iid_with_gap,ood_ll_ood_no_gap,seed,n_train,frequency
9999,-289.25316004909797,-872.1358975252436,0,64,1
19999,-293.8581195212658,-796.066095734198,0,64,1
29999,-306.26975747371847,-868.5832501549176,0,64,1
39999,-294.3514216451328,-806.33666917514,0,64,1
49999,-282.58449767555373,-840.7719321855811,0,64,1
59999,-294.02925358017546,-848.8012144221465,0,64,1
